ID_UNIQUE_ESP;X_CODE_PORTE_ESP;X_DIN_UTIL;X_ABR_T_ESP_DIN;X_ABR_CODE_CUS;N_TAUX_ACTIVITE_SAP;N_NB_PERSONNES
24;AU -1 7014;2.1.A;2-1;BURE;300;4;
26;AU -1 7016;2.1.A;2-1;BURE;50;3;
32;AU -1 7022;2.3.A;2-3;BURE;100;1;
33;AU -1 7023;2.1.B;2-1;BURE;65;2;
34;AU -1 7024;2.1.A;2-1;BURE;100;2;
41;AU -2 8063;2.2.A;2-2;BURE;680;7;
47;AU -2 8069;3.3.R;3-3;LABO;100;1;
48;AU -2 8070;3.2.0;3-2;LABO;400;6;
58;AU -2 8081;2.1.A;2-1;BURE;300;4;
60;AU -2 8083;2.1.A;2-1;BURE;400;4;
62;AU -2 8086;2.1.A;2-1;BURE;270;3;
77;AU -3 9004;2.1.A;2-1;BURE;100;2;
79;AU -3 9007;2.2.A;2-2;BURE;20;3;
1000;CH A1 398;2.1.A;2-1;BURE;;5;
1300;CH F0 494;2.1.A;2-1;BURE;100;1;
2800;ELG 990.0;8.5.M;8-5;DIVE;100;1;
2900;GC A1 344;2.1.A;2-1;BURE;170;5;
3900;INF 238;2.1.A;2-1;BURE;100;1;
4200;INN 041;2.1.A;2-1;BURE;100;3;
4600;MA B0 432;2.1.A;2-1;BURE;100;1;
4900;MA C3 634;2.1.A;2-1;BURE;100;3;
5200;ME C2 397;2.1.A;2-1;BURE;100;3;
6400;PH A1 399;2.1.A;2-1;BURE;100;1;
7000;PH L1 497;2.1.A;2-1;BURE;100;2;
7100;PPB 215;2.1.A;2-1;BURE;75;1;
8800;BP 2141;2.1.A;2-1;BURE;200;2;
8900;BP 4120;2.1.A;2-1;BURE;580;14;
9000;MXF 112;2.1.A;2-1;BURE;60;2;
9500;BCH 1526;3.5.0;3-5;LABO;200;2;
291;BAC 001.1;2.1.A;2-1;BURE;;1;
305;BAC 101;2.3.A;2-3;BURE;260;4;
307;BAC 103;2.1.A;2-1;BURE;175;2;
309;BAC 105;2.1.A;2-1;BURE;100;1;
310;BAC 106;2.1.A;2-1;BURE;290;3;
438;BS 025;2.2.A;2-2;BURE;600;6;
439;BS 027;2.1.A;2-1;BURE;100;1;
440;BS 029;2.1.A;2-1;BURE;200;2;
443;BS 043;2.2.A;2-2;BURE;200;3;
446;BS 052;2.2.A;2-2;BURE;700;8;
448;BS 061;2.1.A;2-1;BURE;100;1;
449;BS 070;4.1.B;4-1;ARCH;200;2;
450;BS 074;2.1.A;2-1;BURE;;1;
480;BS 100;2.1.A;2-1;BURE;200;2;
481;BS 101;2.1.A;2-1;BURE;200;2;
482;BS 102;2.1.A;2-1;BURE;200;2;
483;BS 103;2.1.A;2-1;BURE;200;2;
488;BS 112;2.2.A;2-2;BURE;450;5;
489;BS 119;2.2.A;2-2;BURE;400;7;
490;BS 120;2.1.A;2-1;BURE;100;1;
491;BS 121;2.1.A;2-1;BURE;100;1;
493;BS 123;2.1.A;2-1;BURE;100;1;
494;BS 127;2.2.B;2-2;BURE;490;6;
496;BS 132;2.1.A;2-1;BURE;100;1;
502;BS 168;2.1.A;2-1;BURE;300;3;
504;BS 172;2.1.A;2-1;BURE;100;3;
